Company,Date,Open,High,Low,Close,Adj Close,Volume
Uber,6/20/2019,45.029999,45.290001,43.509998,43.860001,43.860001,9567400
Uber,6/21/2019,43.849998,44.139999,43.380001,44,44,4974000
Uber,6/24/2019,44,44.07,42.82,43.09,43.09,5985100
Uber,6/25/2019,43.279999,43.790001,42.443001,43.09,43.09,5753300
Uber,6/26/2019,43.25,43.400002,42.360001,42.5,42.5,8109100
Uber,6/27/2019,43.349998,45.299999,43.200001,45.130001,45.130001,20155100
Uber,6/28/2019,45.099998,47.080002,45.080002,46.380001,46.380001,28657000
Uber,7/1/2019,46.98,47.040001,44.060001,44.27,44.27,17660500
Uber,7/2/2019,44.549999,44.68,43.75,44,44,11881300
Uber,7/3/2019,44,44.459999,43.790001,44.23,44.23,3380000
Uber,7/5/2019,44.310001,44.549999,43.009998,43.529999,43.529999,8239500
Uber,7/8/2019,43.59,43.849998,42.75,42.950001,42.950001,9304100
Uber,7/9/2019,43.18,44.23,42.98,44.200001,44.200001,5251600
Uber,7/10/2019,44.48,44.799999,43.560001,43.700001,43.700001,9746500
Uber,7/11/2019,44.099998,44.290001,43.310001,43.990002,43.990002,8050900
Uber,7/12/2019,44.16,44.240002,43.389999,43.990002,43.990002,8760500
Uber,7/15/2019,44.200001,44.700001,43.970001,44.529999,44.529999,5811200
Uber,7/16/2019,44.599998,44.98,44.02,44.130001,44.130001,5613300
Uber,7/17/2019,44.060001,44.349998,43.52,43.619999,43.619999,5854100
Uber,7/18/2019,43.5,43.849998,43.189999,43.709999,43.709999,4078700
Uber,7/19/2019,43.900002,44.085999,43.16,43.18,43.18,4021000
Uber,7/22/2019,43.25,43.720001,43.009998,43.689999,43.689999,3815300
Uber,7/23/2019,43.75,44.310001,43.110001,43.360001,43.360001,5110100
Uber,7/24/2019,43.360001,43.869999,43.360001,43.759998,43.759998,3775700
Uber,7/25/2019,43.720001,43.959999,43.209999,43.400002,43.400002,4412000
Uber,7/26/2019,43.419998,44.959999,43.389999,44.52,44.52,7598800
Uber,7/29/2019,45,45.626999,43.119999,43.880001,43.880001,8652200
Uber,7/30/2019,43.709999,43.740002,42.490002,42.59,42.59,7686300
Uber,7/31/2019,42.599998,42.98,41.84,42.139999,42.139999,5970800
Uber,8/1/2019,42.139999,42.535999,41,41.310001,41.310001,7349700
Uber,8/2/2019,41.029999,41.060001,39.950001,40.400002,40.400002,8225700
Uber,8/5/2019,39.349998,39.419998,38.432999,39.049999,39.049999,9799300
Uber,8/6/2019,39.68,40.807999,38.360001,39.150002,39.150002,8570300
Uber,8/7/2019,39.060001,39.990002,38.32,39.700001,39.700001,8896000
Uber,8/8/2019,41.98,43,41.25,42.970001,42.970001,29610500
Uber,8/9/2019,39.560001,40.68,38.709999,40.049999,40.049999,35138800
Uber,8/12/2019,39.830002,39.950001,37,37,37,21231300
Uber,8/13/2019,37,37.459999,36.119999,36.450001,36.450001,18990600
Uber,8/14/2019,36,36.299999,33.360001,33.959999,33.959999,24481600
Uber,8/15/2019,34.52,34.549999,32.919998,33.220001,33.220001,13265800
Uber,8/16/2019,33.459999,35.48,33.400002,35.23,35.23,13883200
Uber,8/19/2019,35.529999,35.799999,34.369999,34.610001,34.610001,10853100
Uber,8/20/2019,34.48,36.07,34.389999,35.290001,35.290001,10760700
Uber,8/21/2019,35.5,35.830002,34.75,34.91,34.91,7923000
Uber,8/22/2019,34.799999,34.91,33.52,34,34,8513300
Uber,8/23/2019,33.650002,34.23,33.119999,33.43,33.43,8160600
Uber,8/26/2019,33.669998,33.830002,33.060001,33.310001,33.310001,5662500
Uber,8/27/2019,33.689999,34.240002,32.98,33.110001,33.110001,6574800
Uber,8/28/2019,32.560001,33.049999,32.259998,32.59,32.59,6245500
Uber,8/29/2019,32.900002,33.299999,32.599998,32.759998,32.759998,5772200
Uber,8/30/2019,33,33.130001,32.040001,32.57,32.57,6628700
Uber,9/3/2019,32.099998,32.529999,30.665001,30.700001,30.700001,12154000
Uber,9/4/2019,30.91,32.360001,30.85,31.99,31.99,10357600
Uber,9/5/2019,32.330002,33.029999,32.25,32.509998,32.509998,7933300
Uber,9/6/2019,32.709999,32.740002,31.41,31.860001,31.860001,7036000
Uber,9/9/2019,32.049999,32.389999,31.459999,32.240002,32.240002,7448400
Uber,9/10/2019,32,33.740002,31.65,33.509998,33.509998,10817100
Uber,9/11/2019,33.380001,35.139999,33.02,34,34,14715800
Uber,9/12/2019,34.139999,34.486,33.330002,34.07,34.07,7734800
Uber,9/13/2019,34.25,34.435001,32.939999,33.25,33.25,9428600
Uber,9/16/2019,33.599998,34.799999,33.470001,34.43,34.43,7942600
Uber,9/17/2019,34.75,34.75,33.549999,34.290001,34.290001,5561300
Uber,9/18/2019,34.349998,34.889999,33.75,34.259998,34.259998,6608300
